GeneID	GSM1275862	GSM1275863	GSM1275864	GSM1275865	GSM1275866	GSM1275867	GSM1275868	GSM1275869	GSM1275870	GSM1275871	GSM1275872	GSM1275873	GSM1275874	GSM1275875	GSM1275876	GSM1275877
100287102	6	8	8	3	5	10	11	7	6	8	4	10	2	1	2	2
653635	357	292	351	285	469	428	523	442	367	415	404	354	371	381	367	341
102466751	12	11	12	10	15	15	19	15	9	11	18	9	10	9	12	6
107985730	1	1	2	1	3	2	2	3	1	1	1	1	2	1	1	1
100302278	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1
645520	7	2	4	4	6	2	3	6	2	2	3	6	6	3	8	3
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	24	22	30	25	46	41	47	48	27	27	25	27	57	35	46	30
729737	50	38	46	40	118	124	137	122	43	56	60	43	78	70	79	68
102725121	8	10	9	5	7	15	15	11	7	12	9	12	2	1	1	3
102723897	378	330	406	322	502	470	515	470	453	509	475	455	382	389	378	358
102465909	14	10	13	11	11	12	17	11	7	9	11	10	7	12	11	7
107985721	2	2	6	1	4	2	5	6	4	2	4	1	3	1	2	2
112268260	21	15	26	14	21	13	17	20	30	29	20	34	19	11	11	9
729759	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
100132287	85	61	79	71	159	135	172	150	94	101	93	62	111	97	106	106
105378947	6	4	7	5	3	4	2	4	4	5	3	2	2	5	3	2
101928626	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
113219467	2357	2254	1523	958	2590	5241	4690	3140	4172	4119	4203	3600	3807	4071	2335	3795
81399	1	1	3	1	1	2	4	1	3	2	3	1	2	1	2	2
100133331	79	69	79	70	141	148	143	130	75	98	91	69	121	94	102	124
107984841	11	9	15	18	23	22	26	27	18	15	20	12	16	12	28	22
107984847	20	18	15	18	46	33	54	38	46	28	27	22	24	25	28	33
107984849	1	1	2	2	7	4	9	4	5	3	4	2	3	4	5	1
100288069	25	17	25	19	44	24	44	45	19	19	22	15	30	16	29	25
105378580	8	14	16	9	29	41	40	23	21	26	16	24	28	26	16	15
400728	3	5	5	5	15	7	15	15	8	10	6	8	6	9	3	5
79854	21	17	16	24	28	40	42	44	27	30	24	30	40	34	14	34
